Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,24.969999,25.059999,24.620001,24.809999,24.809999,20582200
2013-07-02,24.700001,24.770000,24.299999,24.410000,24.410000,18394100
2013-07-03,24.219999,24.709999,24.150000,24.520000,24.520000,10404400
2013-07-05,24.650000,24.660000,24.200001,24.370001,24.370001,20229500
2013-07-08,24.469999,25.040001,24.420000,24.709999,24.709999,27064600
2013-07-09,25.070000,25.490000,25.030001,25.480000,25.480000,30387900
2013-07-10,25.580000,25.830000,25.469999,25.799999,25.799999,26721800
2013-07-11,25.959999,26.000000,25.450001,25.809999,25.809999,26777400
2013-07-12,25.740000,25.930000,25.549999,25.910000,25.910000,16537900
2013-07-15,25.930000,26.430000,25.650000,26.280001,26.280001,24234000
2013-07-16,26.389999,26.750000,26.010000,26.320000,26.320000,30817600
2013-07-17,26.370001,26.780001,26.299999,26.650000,26.650000,21518500
2013-07-18,26.750000,26.770000,26.120001,26.180000,26.180000,24806900
2013-07-19,25.820000,26.110001,25.600000,25.879999,25.879999,46539700
2013-07-22,25.990000,26.129999,25.719999,26.049999,26.049999,27526300
2013-07-23,26.100000,26.299999,25.969999,26.129999,26.129999,28221600
2013-07-24,26.320000,26.530001,26.049999,26.510000,26.510000,82635600
2013-07-25,33.540001,34.880001,32.750000,34.360001,34.360001,365457900
2013-07-26,33.770000,34.730000,33.560001,34.009998,34.009998,136028900
2013-07-29,34.070000,35.630001,34.009998,35.430000,35.430000,124718800
2013-07-30,35.650002,37.959999,35.320000,37.630001,37.630001,173582800
2013-07-31,37.959999,38.310001,36.330002,36.799999,36.799999,154828700
2013-08-01,37.299999,38.290001,36.919998,37.490002,37.490002,106066500
2013-08-02,37.660000,38.490002,37.500000,38.049999,38.049999,73058500
2013-08-05,38.430000,39.320000,38.250000,39.189999,39.189999,79994800
2013-08-06,39.110001,39.250000,37.939999,38.549999,38.549999,63950800
2013-08-07,38.610001,38.939999,37.700001,38.869999,38.869999,68854800
2013-08-08,39.130001,39.189999,38.430000,38.540001,38.540001,41301000
2013-08-09,38.590000,38.740002,38.009998,38.500000,38.500000,43532300
2013-08-12,38.200001,38.500000,38.099998,38.220001,38.220001,31161000
2013-08-13,38.240002,38.320000,36.770000,37.020000,37.020000,65379200
2013-08-14,36.830002,37.549999,36.619999,36.650002,36.650002,48423900
2013-08-15,36.360001,37.070000,36.020000,36.560001,36.560001,56521100
2013-08-16,36.970001,37.490002,36.900002,37.080002,37.080002,45840800
2013-08-19,37.430000,38.279999,37.139999,37.810001,37.810001,57609600
2013-08-20,38.349998,38.580002,37.689999,38.410000,38.410000,57995200
2013-08-21,38.380001,38.849998,38.150002,38.320000,38.320000,46116900
2013-08-22,38.369999,38.750000,38.340000,38.549999,38.549999,21931200
2013-08-23,39.000000,40.630001,38.930000,40.549999,40.549999,86442300
2013-08-26,40.900002,41.939999,40.619999,41.340000,41.340000,94162400
2013-08-27,40.680000,41.200001,39.419998,39.639999,39.639999,72695100
2013-08-28,39.959999,40.849998,39.880001,40.549999,40.549999,57918200
2013-08-29,40.889999,41.779999,40.799999,41.279999,41.279999,58303400
2013-08-30,42.020000,42.259998,41.060001,41.290001,41.290001,67735100
2013-09-03,41.840000,42.160000,41.509998,41.869999,41.869999,48774900
2013-09-04,42.009998,42.169998,41.439999,41.779999,41.779999,42581900
2013-09-05,41.790001,42.770000,41.770000,42.660000,42.660000,50035400
2013-09-06,43.090000,44.610001,42.400002,43.950001,43.950001,117535700
2013-09-09,44.360001,44.790001,43.700001,44.040001,44.040001,75794700
2013-09-10,44.240002,44.259998,43.230000,43.599998,43.599998,54540300
2013-09-11,43.389999,45.090000,43.110001,45.040001,45.040001,72328300
2013-09-12,45.529999,45.619999,44.650002,44.750000,44.750000,68072300
2013-09-13,45.040001,45.080002,43.930000,44.310001,44.310001,52765300
2013-09-16,44.849998,44.939999,42.430000,42.509998,42.509998,70424200
2013-09-17,42.500000,45.439999,42.430000,45.070000,45.070000,91934600
2013-09-18,44.840000,45.470001,44.400002,45.230000,45.230000,79317000
2013-09-19,45.509998,46.049999,45.230000,45.980000,45.980000,63972400
2013-09-20,46.320000,47.599998,45.740002,47.490002,47.490002,115508400
2013-09-23,47.279999,47.549999,46.290001,47.189999,47.189999,75177000
2013-09-24,48.509998,49.660000,48.160000,48.450001,48.450001,136716100
2013-09-25,49.230000,49.540001,48.459999,49.459999,49.459999,87879700
2013-09-26,50.009998,50.599998,49.500000,50.389999,50.389999,98220100
2013-09-27,50.290001,51.279999,49.860001,51.240002,51.240002,81410500
2013-09-30,50.139999,51.599998,49.799999,50.230000,50.230000,100095000
2013-10-01,49.970001,51.029999,49.450001,50.419998,50.419998,98114000
2013-10-02,50.130001,51.099998,49.950001,50.279999,50.279999,62834000
2013-10-03,50.470001,50.720001,49.060001,49.180000,49.180000,82045000
2013-10-04,49.770000,51.160000,49.570000,51.040001,51.040001,74447000
2013-10-07,50.730000,51.290001,50.400002,50.520000,50.520000,57204000
2013-10-08,50.599998,50.599998,47.080002,47.139999,47.139999,136081000
2013-10-09,47.380001,47.840000,45.259998,46.770000,46.770000,147297000
2013-10-10,47.869999,49.680000,47.830002,49.049999,49.049999,99774000
2013-10-11,49.180000,49.869999,48.790001,49.110001,49.110001,58428000
2013-10-14,48.310001,49.630001,47.910000,49.509998,49.509998,68781000
2013-10-15,49.990002,51.000000,49.180000,49.500000,49.500000,81167000
2013-10-16,50.040001,51.240002,49.900002,51.139999,51.139999,64678000
2013-10-17,51.119999,52.220001,50.950001,52.209999,52.209999,71522000
2013-10-18,54.180000,54.830002,53.599998,54.220001,54.220001,88260000
2013-10-21,54.680000,54.810001,53.509998,53.849998,53.849998,58235000
2013-10-22,54.330002,54.759998,52.200001,52.680000,52.680000,83204000
2013-10-23,51.750000,52.250000,51.130001,51.900002,51.900002,57207000
2013-10-24,52.380001,52.840000,51.590000,52.450001,52.450001,46775000
2013-10-25,53.180000,53.240002,51.880001,51.950001,51.950001,45085000
2013-10-28,51.540001,51.700001,49.610001,50.230000,50.230000,73472000
2013-10-29,50.730000,50.790001,49.250000,49.400002,49.400002,102143000
2013-10-30,50.000000,50.209999,48.750000,49.009998,49.009998,127073000
2013-10-31,47.160000,52.000000,46.500000,50.209999,50.209999,248809000
2013-11-01,50.849998,52.090000,49.720001,49.750000,49.750000,95033000
2013-11-04,49.369999,49.750000,48.020000,48.220001,48.220001,80371000
2013-11-05,47.790001,50.180000,47.509998,50.110001,50.110001,76835000
